model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma
xgboost_static,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,3.981405973434448,1,,,
xgboost_static,none,1,DoS,0.8592052014645877,0.6410171680414778,9.812772304431448e-06,0.0366909361921687,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,2,WebAttack,0.872462097367483,0.4826879942891086,8.7415643903633e-06,0.036665711830421,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,3,Infiltration,0.837798264993424,0.3799587407555534,3.108510324139914e-05,0.0253583670925521,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,4,Botnet,0.8509115667293009,0.3179280590650015,2.807736718527904e-05,0.0253223641986113,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,5,PortScan,0.7970506766425447,0.267816582130757,2.897151134717528e-05,0.0161350286266636,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,6,DDoS,0.7560142574409623,0.2310787942615667,2.870895815190867e-05,0.0126588432034068,1.0,1.0,0.999992790298626,0.999802944543727,0.0,,0.0,0,,,
gnn_naive,none,0,BruteForce,0.9999855805972516,0.9996060414834552,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,10.363865613937378,970,,,
gnn_naive,none,1,DoS,0.9939548055734766,0.6595266681003298,0.0007850217843545,0.9999140056182996,0.0,0.0,0.9907643725396894,0.4999981807795723,0.9999107302267451,0.0,7.142233848571777,700,,,
gnn_naive,none,2,WebAttack,0.9862192929898144,0.4952203275164459,0.0001398650302458,0.9655686049842452,0.0,0.0,0.9907715822410637,0.4999818085237981,1.0,0.0,1.5875272750854492,180,,,
gnn_naive,none,3,Infiltration,0.9714028415753704,0.5525736055742299,0.0036563852687695,0.9137581801184168,0.0,0.0,0.9905408717970902,0.4988834219938634,0.999330655957162,0.0,3.511227369308472,340,,,
gnn_naive,none,4,Botnet,0.8469662012701282,0.2218995510011387,0.0003895734696957,0.0010891339440262,0.0,0.0,0.9904759844847226,0.4976076035105385,0.6575342465753424,0.0,2.168259620666504,200,,,
gnn_naive,none,5,PortScan,0.864444069667607,0.238231746499423,0.0052535007242877,0.630319478523806,0.0,0.0,0.9905913397067092,0.4988961590692878,1.0,0.0,4.855545520782471,380,,,
gnn_naive,none,6,DDoS,0.8378456276540553,0.2701574652399625,0.0048805228858244,0.6815941197631571,0.0,0.0,0.9907571628383152,0.4989380049015158,1.0,,2.302584648132324,200,,,
gnn_ewc_replay,none,0,BruteForce,0.9999855805972516,0.9996060414834552,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,9.463340282440186,970,0.0099999997764825,,
gnn_ewc_replay,none,1,DoS,0.9993632227631104,0.9876659978655926,0.0007261451505279,0.9998853408243996,1.0,1.0,0.999992790298626,0.999802944543727,0.9998809736356604,0.0,23.60452079772949,700,0.0135411834344267,,
gnn_ewc_replay,none,2,WebAttack,0.9991240111944544,0.9048736961639476,0.0007736284485471,0.998453165282154,1.0,1.0,0.9999711611945034,0.9997974868030136,1.0,0.0,4.926091194152832,180,0.0181132555007934,,
gnn_ewc_replay,none,3,Infiltration,0.9991059338779794,0.9692091406493732,0.0009869520279144,0.999571517606731,1.0,1.0,0.9999855805972516,0.9998011253100608,0.9989047097480832,0.0,9.136790990829468,340,0.0163080897182226,,
gnn_ewc_replay,none,4,Botnet,0.9959892253169376,0.9185427851869252,0.0007931856229841,0.978158974658187,1.0,1.0,0.9999062738821358,0.9997811128659664,0.6575342465753424,0.0,5.799170017242432,200,0.0167275629937648,,
gnn_ewc_replay,none,5,PortScan,0.9966678932090436,0.958112053194976,0.0010429744084983,0.999690187622376,1.0,1.0,0.9999855805972516,0.9998011253100608,1.0,0.0,11.46318244934082,380,0.0151004334911704,,
gnn_ewc_replay,none,6,DDoS,0.9937695751590032,0.9750507856824912,0.0005869386999945,0.9890717820578884,1.0,1.0,0.9999855805972516,0.9998011253100608,1.0,,6.618876218795776,200,0.020124239847064,,
ffnn_ewc_replay,none,0,BruteForce,0.9999855805972516,0.9996060414834552,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,13.619489192962646,4740,0.0099999997764825,,
ffnn_ewc_replay,none,1,DoS,0.9999287814932426,0.99977660160161,6.868940613102014e-05,0.9999140056182996,1.0,1.0,0.9999639514931292,0.9997956675296318,0.9999107302267451,0.0,23.02762508392334,3390,0.0099999997764825,,
ffnn_ewc_replay,none,2,WebAttack,0.99983314498942,0.9587489473809304,9.615720829399628e-05,0.9993698080779146,1.0,1.0,0.999956741791755,0.9997938482430112,0.9583333333333334,0.0,6.44892430305481,850,0.0108927506953477,,
ffnn_ewc_replay,none,3,Infiltration,0.998969880337672,0.9293693026237152,0.0009636382004833,0.9987145528201932,1.0,1.0,0.9992790298625832,0.9996227761684292,0.9967749787026896,0.0,12.52039098739624,1670,0.0100574977695941,,
ffnn_ewc_replay,none,4,Botnet,0.9994588873296388,0.9349753032211542,0.0003439477480196,0.9984051967248186,1.0,1.0,0.99982696716702,0.9997610988198274,1.0,0.0,6.50041651725769,980,0.0169648900628089,,
ffnn_ewc_replay,none,5,PortScan,0.9925717527290568,0.9260683792713104,0.000566553999678,0.9987111805090836,1.0,1.0,0.9997909186601492,0.9997520009964744,0.998804522321276,0.0,12.997517824172974,1820,0.015268568880856,,
ffnn_ewc_replay,none,6,DDoS,0.9909762119785562,0.9472964368793616,0.0003764063402139,0.9992416361214548,1.0,1.0,0.9998413865697684,0.9997647378564762,1.0,,6.944744110107422,970,0.0180743988603353,,
ffnn_naive,none,0,BruteForce,0.9999855805972516,0.9996060414834552,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,14.828718185424805,4740,,,
ffnn_naive,none,1,DoS,0.9937914219403272,0.6644547873899708,8.831495073988303e-05,0.958034741730207,0.0,0.0,0.990706694928696,0.4976658276442786,0.9945247872403736,0.0,10.511699199676514,3390,,,
ffnn_naive,none,2,WebAttack,0.8671872037375522,0.2597946714852441,0.0005987971607398,0.0079060441134345,0.0,0.0,0.9902236449366268,0.4979985206456946,1.0,0.0,2.9242794513702397,850,,,
ffnn_naive,none,3,Infiltration,0.8861037505425945,0.3785417662109735,0.0008742685286643,0.3452204736678093,0.0,0.0,0.9896540785280674,0.4986178463103216,0.9984787635390046,0.0,5.228626251220703,1670,,,
ffnn_naive,none,4,Botnet,0.8473140594153604,0.3078773230253919,3.8606379879758674e-05,0.0014197638913199,0.0,0.0,0.9907643725396894,0.4976803815690833,1.0,0.0,3.201782464981079,980,,,
ffnn_naive,none,5,PortScan,0.8684763277321231,0.2453969670933541,0.0001352003862868,0.5790393337794632,0.0,0.0,0.9907643725396894,0.4976803815690833,0.9995901219387232,0.0,5.630023717880249,1820,,,
ffnn_naive,none,6,DDoS,0.8244816786119171,0.2811342730506381,0.0007623823331451,0.3331356401855074,0.0,0.0,0.9906273882135802,0.4976458146205778,1.0,,3.1715731620788574,970,,,
gnn_replay,none,0,BruteForce,0.9999855805972516,0.9996060414834552,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,9.622140169143677,970,,,
gnn_replay,none,1,DoS,0.9991160526514232,0.9835343148681284,0.0007604898535934,0.9984521011293928,1.0,1.0,0.999992790298626,0.999802944543727,0.9983336308992442,0.0,15.454099655151367,700,,,
gnn_replay,none,2,WebAttack,0.9973379041493808,0.9436558726375768,0.0001005279904891,0.9805499856774564,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,3.972083806991577,180,,,
gnn_replay,none,3,Infiltration,0.9991448063180672,0.9692307883808592,0.0009636382004833,0.999688376441259,1.0,1.0,0.999956741791755,0.9997938482430112,0.9992698064987222,0.0,7.461132526397705,340,,,
