,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9984824138546688,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9999107302267453,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,1.0,1.0,0.9356821224291104,0.0,0.0,0.0
after_task4,1.0,1.0,1.0,0.9356821224291104,0.6575342465753424,0.0,0.0
after_task5,1.0,0.9798250312444207,1.0,0.9354995740537909,0.9041095890410958,0.9999658434948936,0.0
after_task6,1.0,1.0,1.0,0.9995740537909212,0.9041095890410958,1.0,1.0
